iso_code,Year,Number of total people affected by drought,Number of total people affected by earthquakes,Number of total people affected by volcanic activity,Number of total people affected by floods,Number of total people affected by storms,Number of total people affected by landslides,Number of total people affected by wildfires,Number of total people affected by extreme temperatures
AFG,1950,0,200,0,0,0,0,0,0
AFG,1960,4800,0,0,0,0,0,0,0
AFG,1970,0,9001.5,0,60168.4,0,0,0,0
AFG,1980,0,7253.8,0,19100,0,0,0,0
AFG,1990,0,35229.3,0,18230.5,0,117.4,0,20
AFG,2000,476000,10794.7,0,15904.2,2265.6,30043.2,0,37068.4
AFG,2010,1525000,9797,0,41596.6,906,3524.6,0,45144
AFG,2020,3666666.8,122875664,0,38234,24936667,86666664,0,0
ALB,1950,0,0,0,0,0,0,0,0
ALB,1960,0,45166,0,0,0,0,0,0
ALB,1970,0,35,0,0,0,0,0,0
ALB,1980,320000,569.5,0,0,0,45079,0,708.5
ALB,1990,0,210,0,4650,0,0,0,0
ALB,2000,0,15,0,7648.4,52500,0,45053,15
ALB,2010,0,20782.5,0,8260.2,0,0,0,23000
ALB,2020,0,0,0,28,0,0,0,0
DZA,1950,0,13425,0,0,0,0,0,0
DZA,1960,0,5081.5,0,31154.9,0,0,0,0
DZA,1970,0,0,0,19600,0,0,0,0
DZA,1980,0,94591,0,2503.4,1010.7,0,0,0
DZA,1990,0,3021.4,0,3727.7,0,69.6,0,0
DZA,2000,0,21109.5,0,20027.1,45047,0,0,0
DZA,2010,0,42,0,3609.4,0,0,0,25002.5
DZA,2020,0,5000,0,9733333,0,0,16423666,0
ASM,1950,0,0,0,0,0,0,0,0
ASM,1960,0,0,0,0,0,0,0,0
ASM,1970,0,0,0,0,0,0,0,0
ASM,1980,0,0,0,0,0,0,0,0
ASM,1990,0,0,0,0,0,0,0,0
ASM,2000,0,250,0,0.3,2306,0,0,0
ASM,2010,0,0,0,0,0,0,0,0
ASM,2020,0,0,0,0,0,0,0,0
AGO,1950,0,0,0,0,0,0,0,0
AGO,1960,0,0,0,0,0,0,0,0
AGO,1970,0,0,0,0,0,0,0,0
AGO,1980,248000,0,0,10000,0,0,0,0
AGO,1990,10500,0,0,0,0,0,0,0
AGO,2000,2500,0,0,81615.9,0,0,0,0
AGO,2010,325390,0,0,34613.4,0,0,0,0
