iso_code,year,nodf_drought,nodf_earthquakes,nodf_volcanic_activity,nodf_floods,nodf_storms,nodf_landslides,nodf_wildfires,nodf_extreme_temperatures
AFG,1950,0,210,0,44931,0,0,0,0
AFG,1960,0,0,0,45117,0,0,0,0
AFG,1970,0,44932,0,32.1,0,10,0,0
AFG,1980,0,51.3,0,0,0,7,0,0
AFG,1990,0,742.6,0,199,1,73.9,0,45038
AFG,2000,45110,123.6,0,116.3,33.1,44989,0,166.5
AFG,2010,0,45128,0,137,44941,83.8,0,45050
AFG,2020,0,354.67,0,310.67,12145,20.33,0,0
ALB,1950,0,0,0,0,0,0,0,0
ALB,1960,0,45079,0,0,0,0,0,0
ALB,1970,0,45049,0,0,0,0,0,0
ALB,1980,0,0.1,0,0,0,45112,0,45144
ALB,1990,0,0,0,45047,0,0,0,0
ALB,2000,0,0,0,0.4,0.8,0,0,0.3
ALB,2010,0,44931,0,0.4,0,0,0,44927
ALB,2020,0,0,0,0,0,0,0,0
DZA,1950,0,125,0,45048,0,0,0,0
DZA,1960,0,45175,0,45000,0,0,0,0
DZA,1970,0,0,0,44960,0,0,0,0
DZA,1980,0,268.6,0,16,0,0,0,0
DZA,1990,0,45004,0,44995,0,45047,44959,0
DZA,2000,0,227.9,0,131.2,45109,0,0.8,4
DZA,2010,0,0.6,0,45116,0,0,0,0.8
DZA,2020,0,0,0,12145,0,0,44.67,0
ASM,1950,0,0,0,0,0,0,0,0
ASM,1960,0,0,0,0,9,0,0,0
ASM,1970,0,0,0,0,0,0,0,0
ASM,1980,0,0,0,0,0,0,0,0
ASM,1990,0,0,0,0,0,0,0,0
ASM,2000,0,45019,0,0.6,0,0,0,0
ASM,2010,0,0,0,0,0,0,0,0
ASM,2020,0,0,0,0,0,0,0,0
AGO,1950,0,0,0,0,0,0,0,0
AGO,1960,0,0,0,0,0,0,0,0
AGO,1970,0,0,0,0,0,0,0,0
AGO,1980,0,0,0,0,0,0,0,0
AGO,1990,0,0,0,0,0,0,0,0
AGO,2000,45143,0,0,32.8,0,44986,0,0
AGO,2010,0,0,0,44.2,0,0,0,0
AGO,2020,0,0,0,18.33,0,0,0,0
AIA,1950,0,0,0,0,0,0,0,0
AIA,1960,0,0,0,0,0.5,0,0,0
AIA,1970,0,0,0,0,0,0,0,0
AIA,1980,0,0,0,0,0,0,0,0
AIA,1990,0,0,0,0,0,0,0,0
AIA,2000,0,0,0,0,0,0,0,0
AIA,2010,0,0,0,0,0.4,0,0,0
AIA,2020,0,0,0,0,0,0,0,0
ATG,1950,0,0,0,0,0.2,0,0,0
ATG,1960,0,0,0,0,0.2,0,0,0
ATG,1970,0,0,0,0,0,0,0,0
ATG,1980,0,0,0,0,0.2,0,0,0
ATG,1990,0,0,0,0,0.6,0,0,0
ATG,2000,0,0,0,0,0,0,0,0
ATG,2010,0,0,0,0,0.1,0,0,0
