iso_code;year;drought;earthquakes;volcanic_activity;floods;storms;landslides;wildfires;extreme_temperatures;disasters
AFG;1950;0;0;0;0;0;0;0;0;200
AFG;1960;4800;0;0;0;0;0;0;0;4800
AFG;1970;0;9000;0;59404.4;0;0;0;0;69169.9
AFG;1980;0;6244;0;19100;0;0;0;0;26353.8
AFG;1990;0;27168.5;0;16435.5;0;0;0;20;53597.2
AFG;2000;476000;9074;0;13537.5;2265.6;30042.1;0;37050.2;572076.1
AFG;2010;1525000;339;0;38113.9;904.5;2757.5;0;0;1580831
AFG;2020;3666666.8;120,544,664;0;30,389,334;24,803,333;0;0;0;3830356.8
ALB;1950;0;0;0;0;0;0;0;0;0
ALB;1960;0;0;0;0;0;0;0;0;28-Aug
ALB;1970;0;0;0;0;0;0;0;0;35
ALB;1980;320000;69;0;0;0;0;0;574.5;321280.6
ALB;1990;0;210;0;4650;0;0;0;0;4860
ALB;2000;0;0;0;7648.4;52500;0;0;15;60185.9
ALB;2010;0;20680;0;8260;0;0;0;23000;52042.7
ALB;2020;0;0;0;28;0;0;0;0;28
DZA;1950;0;0;0;0;0;0;0;0;13425
DZA;1960;0;3700;0;29540;0;0;0;0;36236.4
DZA;1970;0;0;0;13500;0;0;0;0;19600
DZA;1980;0;49409.3;0;850;1010.7;0;0;0;98105.1
DZA;1990;0;1475;0;120;0;0;0;0;6818.7
DZA;2000;0;16;0;19530;0;0;0;0;41138.1
DZA;2010;0;0;0;3595;0;0;0;25000;28653.9
DZA;2020;0;5000;0;9,673,333;0;0;16,339,333;0;22397
ASM;1950;0;0;0;0;0;0;0;0;0
ASM;1960;0;0;0;0;0;0;0;0;0
ASM;1970;0;0;0;0;0;0;0;0;0
ASM;1980;0;0;0;0;0;0;0;0;0
ASM;1990;0;0;0;0;0;0;0;0;0
ASM;2000;0;250;0;0;2000;0;0;0;2556.3
ASM;2010;0;0;0;0;0;0;0;0;0
ASM;2020;0;0;0;0;0;0;0;0;0
AGO;1950;0;0;0;0;0;0;0;0;0
AGO;1960;0;0;0;0;0;0;0;0;0
AGO;1970;0;0;0;0;0;0;0;0;0
AGO;1980;248000;0;0;10000;0;0;0;0;258000
AGO;1990;10500;0;0;0;0;0;0;0;10500
AGO;2000;2500;0;0;78332.8;0;0;0;0;84115.9
