iso_code;year;nodf_drought;nodf_earthquakes;nodf_volcanic_activity;nodf_floods;nodf_storms;nodf_landslides;nodf_wildfires;nodf_extreme_temperatures
AFG;1950;0;210;0;5.1;0;0;0;0
AFG;1960;0;0;0;10.7;0;0;0;0
AFG;1970;0;6.1;0;32.1;0;10;0;0
AFG;1980;0;51.3;0;0;0;7;0;0
AFG;1990;0;742.6;0;199;1;73.9;0;22.4
AFG;2000;3.7;123.6;0;116.3;33.1;4.3;0;166.5
AFG;2010;0;21.7;0;137;15.1;83.8;0;4.5
AFG;2020;0;354.67;0;310.67;4.33;20.33;0;0
ALB;1950;0;0;0;0;0;0;0;0
ALB;1960;0;2.6;0;0;0;0;0;0
ALB;1970;0;3.5;0;0;0;0;0;0
ALB;1980;0;0.1;0;0;0;5.7;0;6.8
ALB;1990;0;0;0;1.5;0;0;0;0
ALB;2000;0;0;0;0.4;0.8;0;0;0.3
ALB;2010;0;5.1;0;0.4;0;0;0;1.1
ALB;2020;0;0;0;0;0;0;0;0
DZA;1950;0;125;0;2.5;0;0;0;0
DZA;1960;0;6.9;0;15.3;0;0;0;0
DZA;1970;0;0;0;3.2;0;0;0;0
DZA;1980;0;268.6;0;16;0;0;0;0
DZA;1990;0;19.3;0;10.3;0;1.5;2.2;0
DZA;2000;0;227.9;0;131.2;2.7;0;0.8;4
DZA;2010;0;0.6;0;9.7;0;0;0;0.8
DZA;2020;0;0;0;4.33;0;0;44.67;0
ASM;1950;0;0;0;0;0;0;0;0
ASM;1960;0;0;0;0;9;0;0;0
ASM;1970;0;0;0;0;0;0;0;0
ASM;1980;0;0;0;0;0;0;0;0
ASM;1990;0;0;0;0;0;0;0;0
ASM;2000;0;3.4;0;0.6;0;0;0;0
ASM;2010;0;0;0;0;0;0;0;0
ASM;2020;0;0;0;0;0;0;0;0
AGO;1950;0;0;0;0;0;0;0;0
AGO;1960;0;0;0;0;0;0;0;0
AGO;1970;0;0;0;0;0;0;0;0
AGO;1980;0;0;0;0;0;0;0;0
AGO;1990;0;0;0;0;0;0;0;0
AGO;2000;5.8;0;0;32.8;0;1.3;0;0
AGO;2010;0;0;0;44.2;0;0;0;0
AGO;2020;0;0;0;18.33;0;0;0;0
AIA;1950;0;0;0;0;0;0;0;0
AIA;1960;0;0;0;0;0.5;0;0;0
AIA;1970;0;0;0;0;0;0;0;0
AIA;1980;0;0;0;0;0;0;0;0
AIA;1990;0;0;0;0;0;0;0;0
AIA;2000;0;0;0;0;0;0;0;0
AIA;2010;0;0;0;0;0.4;0;0;0
AIA;2020;0;0;0;0;0;0;0;0
ATG;1950;0;0;0;0;0.2;0;0;0
ATG;1960;0;0;0;0;0.2;0;0;0
ATG;1970;0;0;0;0;0;0;0;0
ATG;1980;0;0;0;0;0.2;0;0;0
ATG;1990;0;0;0;0;0.6;0;0;0
ATG;2000;0;0;0;0;0;0;0;0
ATG;2010;0;0;0;0;0.1;0;0;0
ATG;2020;0;0;0;0;0;0;0;0
ARG;1950;0;0;0;36;0;0;0;0
ARG;1960;0;0;0;11.8;0;4.5;0;0
ARG;1970;0;7;0;3.6;18.5;0;0;10
ARG;1980;0;0.6;0;10.6;0.2;3;0;0
ARG;1990;0;0;0;8.5;2.1;0;2.4;0
ARG;2000;0;0;0;6.9;5.7;0.4;0.8;4.3
ARG;2010;0.8;0;0;7.9;3.3;2.4;0;4.2
ARG;2020;0;0;0;1;0;0;5;0
ARM;1950;0;0;0;0;0;0;0;0
ARM;1960;0;0;0;0;0;0;0;0
ARM;1970;0;0;0;0;0;0;0;0
ARM;1980;0;0;0;0;0;0;0;0
ARM;1990;0;0;0;0.4;0;0;0;0
ARM;2000;0;0;0;0.1;0;0;0;0
ARM;2010;0;0;0;0;0;0;0;0
ARM;2020;0;0;0;0;0;0;0;0
AUS;1950;0;0;0;7;0;0;0;0
AUS;1960;60;0;0;0;0;0;7.4;0
AUS;1970;0;0;0;6;11.2;0;0.3;0
AUS;1980;0;1.2;0;7.1;4.8;0;8.6;0
AUS;1990;0;0;0;3.8;5.1;2.8;0.7;2.3
AUS;2000;0;0;0;3.4;1.2;0;20.2;34.7
AUS;2010;0;0;0;4.9;3.3;0;4.1;13.9
AUS;2020;0;0;0;12.67;0.33;0;0;0
AUT;1950;0;0;0;0;0;23.8;0;0
AUT;1960;0;0;0;0;0;0;0;0
AUT;1970;0;0;0;0;0;1.5;0;0
AUT;1980;0;0;0;1.2;1.2;4.2;0;0
AUT;1990;0;0;0;1.3;0.3;5;0;0
AUT;2000;0;0;0;1.4;0.7;1.3;0;35.2
AUT;2010;0;0;0;0.4;1.6;0;0;0.6
AUT;2020;0;0;0;0.33;0;0;0;0
AZE;1950;0;0;0;0;0;0;0;0
AZE;1960;0;0;0;0;0;0;0;0
AZE;1970;0;0;0;0;0;0;0;0
AZE;1980;0;0;0;0;0;0;0;0
AZE;1990;0;0.2;0;1.6;0;0;0;0
AZE;2000;0;3.1;0;0;0;1.1;0;0
AZE;2010;0;0;0;0.3;0;0;0;0.5
AZE;2020;0;0;0;0;0;0;0;0
BHS;1950;0;0;0;0;0;0;0;0
BHS;1960;0;0;0;0;0.5;0;0;0
BHS;1970;0;0;0;0;0;0;0;0
BHS;1980;0;0;0;0;0;0;0;0
BHS;1990;0;0;0;0;0.5;0;0;0
BHS;2000;0;0;0;0;1.4;0;0;0
BHS;2010;0;0;0;0;39;0;0;0
BHS;2020;0;0;0;0;0;0;0;0
BGD;1950;0;0;0;0;70;0;0;0
BGD;1960;0;0;0;1029;9262.3;0;0;0
BGD;1970;1.8;0;0;2937.5;30714.4;0;0;0
BGD;1980;0;0.3;0;706.4;1897.7;0;0;17
BGD;1990;0;2.9;0;294.4;14259.4;0;0;80.1
BGD;2000;0;0.4;0;240.4;558.8;1.3;0;133.5
BGD;2010;0;0.9;0;65.3;59.2;25.2;0;21.8
BGD;2020;0;0;0;120;21.33;0;0;0
BRB;1950;0;0;0;0;5.7;0;0;0
BRB;1960;0;0;0;0;0;0;0;0
BRB;1970;0;0;0;0.3;0;0;0;0
BRB;1980;0;0;0;0;0;0;0;0
BRB;1990;0;0;0;0;0;0;0;0
BRB;2000;0;0;0;0;0.1;0;0;0
BRB;2010;0;0;0;0;0.1;0;0;0
BRB;2020;0;0;0;0;0;0;0;0
BLR;1950;0;0;0;0;0;0;0;0
BLR;1960;0;0;0;0;0;0;0;0
BLR;1970;0;0;0;0;0;0;0;0
BLR;1980;0;0;0;0;0;0;0;0
BLR;1990;0;0;0;0.2;0.5;0;0;0
BLR;2000;0;0;0;0;0;0;0;0.5
BLR;2010;0;0;0;0;0;0;0;4.9
BLR;2020;0;0;0;0;0;0;0;0
BEL;1950;0;0;0;1.5;0;0;0;0
BEL;1960;0;0;0;0;0;0;0;1.2
BEL;1970;0;0;0;0;0;0;0;0
BEL;1980;0;0.2;0;0;0;0;0;0
BEL;1990;0;0;0;0.1;2.4;0;0;0
BEL;2000;0;0;0;0.2;0.7;0;0;211.8
BEL;2010;0;0;0;0.4;0.8;0;0;112.9
BEL;2020;0;0;0;13;0.67;0;0;486.67
BLZ;1950;0;0;0;0;1.6;0;0;0
BLZ;1960;0;0;0;0;27.5;0;0;0
BLZ;1970;0;0;0;0;0.5;0;0;0
BLZ;1980;0;0;0;0;0;0;0;0
BLZ;1990;0;0;0;0;0.9;0;0;0
BLZ;2000;0;0;0;0.1;5.4;0;0;0
BLZ;2010;0;0;0;0;0;0;0;0
BLZ;2020;0;0;0;0;0;0;0;0
BEN;1950;0;0;0;0;0;0;0;0
BEN;1960;0;0;0;0;0;0;0;0
BEN;1970;0;0;0;0;0;0;0.2;0
BEN;1980;0;0;0;6.1;0;0;0;0
BEN;1990;0;0;0;3.7;0;0;0;0
BEN;2000;0;0;0;3.5;0;0;0;0
BEN;2010;0;0;0;5;0;0;0.1;0
BEN;2020;0;0;0;21;0;0;0;0
BMU;1950;0;0;0;0;0;0;0;0
BMU;1960;0;0;0;0;0;0;0;0
BMU;1970;0;0;0;0;0;0;0;0
BMU;1980;0;0;0;0;0;0;0;0
BMU;1990;0;0;0;0;0;0;0;0
BMU;2000;0;0;0;0;0.4;0;0;0
BMU;2010;0;0;0;0;0;0;0;0
BMU;2020;0;0;0;0;0;0;0;0
BTN;1950;0;0;0;0;0;0;0;0
BTN;1960;0;0;0;0;0;0;0;0
BTN;1970;0;0;0;0;0;0;0;0
BTN;1980;0;0;0;0;0;0;0;0
BTN;1990;0;0;0;2.2;1.7;0;0;0
BTN;2000;0;1.1;0;20;1.2;0;0;0
BTN;2010;0;0.1;0;0;0;0;0;0
BTN;2020;0;0;0;3.33;0;0;0;0
BOL;1950;0;0;0;0;0;0;0;0
BOL;1960;0;0;0;7.8;0;0;0;0
BOL;1970;0;0;0;8.1;0;0;0;0
BOL;1980;0;0;0;30.4;0;0;0;0
BOL;1990;0;10;0;6;0;14.9;0.3;0
BOL;2000;0;0;0;36.1;2;6.9;0;1.5
BOL;2010;0;0;0;32.3;0;11.6;0;2.2
BOL;2020;0;0;0;45.33;0;0;1.67;0
BIH;1950;0;0;0;0;0;0;0;0
BIH;1960;0;0;0;0;0;0;0;0
BIH;1970;0;0;0;0;0;0;0;0
BIH;1980;0;0;0;0;0;0;0;0
BIH;1990;0;0;0;0;0;0;0;0
BIH;2000;0;0;0;0;0.4;0.6;0;0.1
BIH;2010;0;0;0;3;0;0;0;0.6
BIH;2020;0;0.33;0;0;0;0;0;0
BWA;1950;0;0;0;0;0;0;0;0
BWA;1960;0;0;0;0;0;0;0;0
BWA;1970;0;0;0;0;0;0;0;0
BWA;1980;0;0;0;0.8;0;0;0;0
BWA;1990;0;0;0;2;0;0;0;0
BWA;2000;0;0;0;0.3;0;0;0;0
BWA;2010;0;0;0;1.2;0;0;0;0
BWA;2020;0;0;0;0;0;0;0;0
BRA;1950;0;0;0;21.2;5.9;6.6;0;0
BRA;1960;0;0;0;181.8;3.6;78.6;0;11.3
BRA;1970;0;0;0;114.2;1;12.1;0;12.6
BRA;1980;2;0.1;0;159.8;11.6;14.3;0;7.7
