ISO Code;Country name;Year;Number of deaths from drought;Number of deaths from earthquakes;Number of deaths from volcanic activity;Number of deaths from floods;Number of deaths from storms;Number of deaths from landslides;Number of deaths from wildfires;Number of deaths from extreme temperatures
AFG;Afghanistan;1950;0;210;0;5,1;0;0;0;0
AFG;Afghanistan;1960;0;0;0;10,7;0;0;0;0
AFG;Afghanistan;1970;0;6,1;0;32,1;0;10;0;0
AFG;Afghanistan;1980;0;51,3;0;0;0;7;0;0
AFG;Afghanistan;1990;0;742,6;0;199;1;73,9;0;22,4
AFG;Afghanistan;2000;3,7;123,6;0;116,3;33,1;4,3;0;166,5
AFG;Afghanistan;2010;0;21,7;0;137;15,1;83,8;0;4,5
AFG;Afghanistan;2020;0;354,66666;0;310,66666;4,3333335;20,333334;0;0
ALB;Albania;1950;0;0;0;0;0;0;0;0
ALB;Albania;1960;0;2,6;0;0;0;0;0;0
ALB;Albania;1970;0;3,5;0;0;0;0;0;0
ALB;Albania;1980;0;0,1;0;0;0;5,7;0;6,8
ALB;Albania;1990;0;0;0;1,5;0;0;0;0
ALB;Albania;2000;0;0;0;0,4;0,8;0;0;0,3
ALB;Albania;2010;0;5,1;0;0,4;0;0;0;1,1
ALB;Albania;2020;0;0;0;0;0;0;0;0
DZA;Algeria;1950;0;125;0;2,5;0;0;0;0
DZA;Algeria;1960;0;6,9;0;15,3;0;0;0;0
DZA;Algeria;1970;0;0;0;3,2;0;0;0;0
DZA;Algeria;1980;0;268,6;0;16;0;0;0;0
DZA;Algeria;1990;0;19,3;0;10,3;0;1,5;2,2;0
DZA;Algeria;2000;0;227,9;0;131,2;2,7;0;0,8;4
DZA;Algeria;2010;0;0,6;0;9,7;0;0;0;0,8
DZA;Algeria;2020;0;0;0;4,3333335;0;0;44,666668;0
ASM;American Samoa;1950;0;0;0;0;0;0;0;0
ASM;American Samoa;1960;0;0;0;0;9;0;0;0
ASM;American Samoa;1970;0;0;0;0;0;0;0;0
ASM;American Samoa;1980;0;0;0;0;0;0;0;0
ASM;American Samoa;1990;0;0;0;0;0;0;0;0
ASM;American Samoa;2000;0;3,4;0;0,6;0;0;0;0
ASM;American Samoa;2010;0;0;0;0;0;0;0;0
ASM;American Samoa;2020;0;0;0;0;0;0;0;0
AGO;Angola;1950;0;0;0;0;0;0;0;0
AGO;Angola;1960;0;0;0;0;0;0;0;0
AGO;Angola;1970;0;0;0;0;0;0;0;0
AGO;Angola;1980;0;0;0;0;0;0;0;0
AGO;Angola;1990;0;0;0;0;0;0;0;0
AGO;Angola;2000;5,8;0;0;32,8;0;1,3;0;0
AGO;Angola;2010;0;0;0;44,2;0;0;0;0
AGO;Angola;2020;0;0;0;18,333334;0;0;0;0
AIA;Anguilla;1950;0;0;0;0;0;0;0;0
AIA;Anguilla;1960;0;0;0;0;0,5;0;0;0
AIA;Anguilla;1970;0;0;0;0;0;0;0;0
AIA;Anguilla;1980;0;0;0;0;0;0;0;0
