iso_code;year;total_reconstruction_costs;total_insured_damages;total_economic_damages
AFG;1950;0;0;2500000
AFG;1960;0;0;20000
AFG;1970;0;0;5200000
AFG;1980;0;0;26900000
AFG;1990;0;20000;8401000
AFG;2000;0;0;2511000
AFG;2010;0;0;14800000
AFG;2020;0;0;0
ALB;1950;0;0;0
ALB;1960;0;0;21570000
ALB;1970;0;0;40720000
ALB;1980;0;0;7775400
ALB;1990;0;0;225193900
ALB;2000;0;0;1767300
ALB;2010;0;0;440690000
ALB;2020;0;0;627666700
DZA;1950;0;0;600000
DZA;1960;0;0;2500000
DZA;1970;0;0;4000000
DZA;1980;0;0;520200000
DZA;1990;0;0;6182900
DZA;2000;0;0;570101700
DZA;2010;0;0;77900000
DZA;2020;0;0;0
ASM;1950;0;0;0
ASM;1960;0;0;0
ASM;1970;0;0;0
ASM;1980;0;0;500000
ASM;1990;0;0;0
ASM;2000;0;0;20000000
ASM;2010;0;0;0
ASM;2020;0;0;0
AGO;1950;0;0;0
AGO;1960;0;0;0
AGO;1970;0;0;0
AGO;1980;0;0;0
AGO;1990;0;0;0
AGO;2000;0;0;1000000
AGO;2010;0;0;200000
AGO;2020;0;0;0
AIA;1950;0;0;0
AIA;1960;0;0;3500000
AIA;1970;0;0;0
AIA;1980;0;0;0
AIA;1990;0;0;5000
AIA;2000;0;0;0
AIA;2010;0;670000;20000000
AIA;2020;0;0;0
ATG;1950;0;0;100000
ATG;1960;0;0;0
ATG;1970;0;0;0
ATG;1980;0;0;8000000
ATG;1990;0;5000000;45000000
ATG;2000;0;0;0
ATG;2010;20000000;680000;26260000
ATG;2020;0;0;0
ARG;1950;0;0;0
ARG;1960;0;0;3300000
ARG;1970;0;0;10500000
ARG;1980;0;0;393000000
ARG;1990;0;0;275200000
ARG;2000;0;0;214821000
ARG;2010;0;21300000;249920000
ARG;2020;0;0;243333330
ARM;1950;0;0;0
ARM;1960;0;0;0
ARM;1970;0;0;0
ARM;1980;0;0;0
ARM;1990;0;0;4145300
ARM;2000;0;0;12000000
ARM;2010;0;0;346182200
ARM;2020;0;0;0
AUS;1950;0;0;0
AUS;1960;0;0;7210000
AUS;1970;0;0;247757100
AUS;1980;0;56990000;198211600
AUS;1990;0;127690000;479259300
AUS;2000;0;421400000;831645400
AUS;2010;0;1230100000;2735040000
AUS;2020;0;1824333373;5536666600
AUT;1950;0;0;0
AUT;1960;0;0;12931800
AUT;1970;0;0;38120000
AUT;1980;0;0;94288700
AUT;1990;0;22590000;1943347000
AUT;2000;0;79000000;1646476000
AUT;2010;0;24700000;2717659800
AUT;2020;0;0;2700000000
AZE;1950;0;0;0
AZE;1960;0;0;60000000
AZE;1970;0;0;0
AZE;1980;0;0;600000000
AZE;1990;0;0;201920000
AZE;2000;0;0;206500000
AZE;2010;0;0;120000000
AZE;2020;0;0;0
BHS;1950;0;0;0
BHS;1960;0;0;1770000
BHS;1970;0;0;0
BHS;1980;0;0;0
BHS;1990;0;2200000;70040000
BHS;2000;0;24500000;185000000
BHS;2010;0;7639800;417700000
BHS;2020;0;0;0
BGD;1950;0;0;0
BGD;1960;0;0;35747900
BGD;1970;0;0;74080100
BGD;1980;0;0;341070000
BGD;1990;0;8000000;777780000
BGD;2000;0;0;598400000
BGD;2010;0;0;172278500
BGD;2020;0;0;666666670
BRB;1950;0;0;0
BRB;1960;0;0;0
BRB;1970;0;0;50000
BRB;1980;0;0;10150000
BRB;1990;0;0;0
BRB;2000;0;0;520000
BRB;2010;0;0;0
BRB;2020;0;0;0
BLR;1950;0;0;0
BLR;1960;0;0;0
BLR;1970;0;0;0
BLR;1980;0;0;0
BLR;1990;15000000;0;13738000
BLR;2000;0;0;4030000
BLR;2010;0;0;0
BLR;2020;0;0;0
BEL;1950;0;0;0
BEL;1960;0;0;0
BEL;1970;0;0;0
BEL;1980;0;0;5000000
BEL;1990;0;73100000;125798600
BEL;2000;0;28000000;45500000
BEL;2010;0;8000000;49714600
BEL;2020;0;0;666666700
BLZ;1950;0;0;500000
BLZ;1960;0;0;6000000
BLZ;1970;0;0;1000000
BLZ;1980;0;0;0
BLZ;1990;0;0;500000
BLZ;2000;0;0;55200400
BLZ;2010;0;0;0
BLZ;2020;0;0;0
BEN;1950;0;0;0
BEN;1960;0;0;0
BEN;1970;0;0;20000
BEN;1980;0;0;480000
BEN;1990;0;0;331500
BEN;2000;0;0;0
BEN;2010;0;0;0
BEN;2020;0;0;0
BMU;1950;0;0;0
BMU;1960;0;0;0
BMU;1970;0;0;0
BMU;1980;0;0;5350000
BMU;1990;0;0;0
BMU;2000;0;12500000;30000000
BMU;2010;0;0;0
BMU;2020;0;0;0
BTN;1950;0;0;0
BTN;1960;0;0;0
BTN;1970;0;0;0
BTN;1980;0;0;65100
BTN;1990;0;0;350000
BTN;2000;0;0;0
BTN;2010;0;0;0
BTN;2020;0;0;0
BOL;1950;0;0;0
BOL;1960;0;0;371800
BOL;1970;0;0;2050000
BOL;1980;0;0;49840000
BOL;1990;0;0;67000000
