iso_code;year;nopif_drought;nopif_earthquakes;nopif_volcanic_activity;nopif_floods;nopif_storms;nopif_landslides;nopif_wildfires;nopif_extreme_temperatures
AFG;1950;0;200;0;0;0;0;0;0
AFG;1960;0;0;0;0;0;0;0;0
AFG;1970;0;2;0;14;0;0;0;0
AFG;1980;0;352;0;0;0;0;0;0
AFG;1990;0;358;0;30;0;6;0;0
AFG;2000;0;151;0;27;0;1;0;18
AFG;2010;0;5831;0;61;2;26;0;7
AFG;2020;0;998;0;220;13;3;0;0
ALB;1950;0;0;0;0;0;0;0;0
ALB;1960;0;29;0;0;0;0;0;0
ALB;1970;0;35;0;0;0;0;0;0
ALB;1980;0;1;0;0;0;3;0;0
ALB;1990;0;0;0;0;0;0;0;0
ALB;2000;0;0;0;0;0;0;0;0
ALB;2010;0;103;0;0;0;0;0;0
ALB;2020;0;0;0;0;0;0;0;0
DZA;1950;0;500;0;0;0;0;0;0
DZA;1960;0;37;0;25;0;0;0;0
DZA;1970;0;0;0;0;0;0;0;0
DZA;1980;0;862;0;6;0;0;0;0
DZA;1990;0;46;0;13;0;5;0;0
DZA;2000;0;1079;0;62;2;0;0;0
DZA;2010;0;42;0;14;0;0;0;3
DZA;2020;0;0;0;0;0;0;84;0
ASM;1950;0;0;0;0;0;0;0;0
ASM;1960;0;0;0;0;0;0;0;0
ASM;1970;0;0;0;0;0;0;0;0
ASM;1980;0;0;0;0;0;0;0;0
ASM;1990;0;0;0;0;0;0;0;0
ASM;2000;0;0;0;0;6;0;0;0
ASM;2010;0;0;0;0;0;0;0;0
ASM;2020;0;0;0;0;0;0;0;0
AGO;1950;0;0;0;0;0;0;0;0
AGO;1960;0;0;0;0;0;0;0;0
AGO;1970;0;0;0;0;0;0;0;0
AGO;1980;0;0;0;0;0;0;0;0
AGO;1990;0;0;0;0;0;0;0;0
AGO;2000;0;0;0;2;0;0;0;0
AGO;2010;0;0;0;3;0;0;0;0
AGO;2020;0;0;0;1;0;0;0;0
AIA;1950;0;0;0;0;0;0;0;0
AIA;1960;0;0;0;0;25;0;0;0
AIA;1970;0;0;0;0;0;0;0;0
AIA;1980;0;0;0;0;0;0;0;0
AIA;1990;0;0;0;0;0;0;0;0
AIA;2000;0;0;0;0;0;0;0;0
AIA;2010;0;0;0;0;0;0;0;0
AIA;2020;0;0;0;0;0;0;0;0
ATG;1950;0;0;0;0;0;0;0;0
ATG;1960;0;0;0;0;0;0;0;0
ATG;1970;0;0;0;0;0;0;0;0
ATG;1980;0;0;0;0;0;0;0;0
ATG;1990;0;0;0;0;21;0;0;0
ATG;2000;0;0;0;0;0;0;0;0
ATG;2010;0;0;0;0;0;0;0;0
ATG;2020;0;0;0;0;0;0;0;0
ARG;1950;0;0;0;0;0;0;0;0
ARG;1960;0;0;0;0;0;0;0;0
ARG;1970;0;10;0;0;40;0;0;0
ARG;1980;0;24;0;0;0;1;0;0
