iso_code;year;population
AFG;1950;7480464
AFG;1960;8622473
AFG;1970;10752973
AFG;1980;12486640
AFG;1990;10694804
AFG;2000;19542986
AFG;2010;28189672
AFG;2020;38972236
ALB;1950;1252587
ALB;1960;1711189
ALB;1970;2324733
ALB;1980;2941650
ALB;1990;3295073
ALB;2000;3182027
ALB;2010;2913402
ALB;2020;2866850
DZA;1950;9019866
DZA;1960;11394309
DZA;1970;13795915
DZA;1980;18739378
DZA;1990;25518074
DZA;2000;30774624
DZA;2010;35856348
DZA;2020;43451668
ASM;1950;19057
ASM;1960;20107
ASM;1970;27098
ASM;1980;32908
ASM;1990;47841
ASM;2000;58251
ASM;2010;54871
ASM;2020;46216
AGO;1950;4478186
AGO;1960;5357201
AGO;1970;6029702
AGO;1980;8330053
AGO;1990;11828643
AGO;2000;16394067
AGO;2010;23364196
AGO;2020;33428490
AIA;1950;5036
AIA;1960;5773
AIA;1970;6302
AIA;1980;6583
AIA;1990;8340
AIA;2000;11071
AIA;2010;13192
AIA;2020;15612
ATG;1950;45456
ATG;1960;55356
ATG;1970;64536
ATG;1980;64907
ATG;1990;63346
ATG;2000;75070
ATG;2010;85710
ATG;2020;92672
ARG;1950;17017748
ARG;1960;20349748
ARG;1970;23842804
ARG;1980;28024808
ARG;1990;32637658
ARG;2000;37070772
ARG;2010;41100124
ARG;2020;45036030
ARM;1950;1385038
ARM;1960;1904150
ARM;1970;2534383
ARM;1980;3135123
ARM;1990;3556544
ARM;2000;3168525
ARM;2010;2946296
ARM;2020;2805610
AUS;1950;8177169
AUS;1960;10286648
AUS;1970;12595038
AUS;1980;14706329
AUS;1990;17048002
AUS;2000;19017968
AUS;2010;22019166
AUS;2020;25670052
AUT;1950;6936443
AUT;1960;7046554
AUT;1970;7465310
AUT;1980;7547564
AUT;1990;7678732
AUT;2000;8010425
AUT;2010;8362829
AUT;2020;8907780
AZE;1950;3158966
AZE;1960;4131486
AZE;1970;5425315
AZE;1980;6383063
AZE;1990;7427840
AZE;2000;8190341
AZE;2010;9237203
AZE;2020;10284952
BHS;1950;81651
BHS;1960;114512
BHS;1970;179149
BHS;1980;223761
BHS;1990;270690
BHS;2000;325033
BHS;2010;373277
BHS;2020;406478
BGD;1950;39728540
BGD;1960;50396428
BGD;1970;67541864
BGD;1980;83929770
BGD;1990;107147656
BGD;2000;129193336
BGD;2010;148391140
BGD;2020;167420940
BRB;1950;210556
BRB;1960;232560
BRB;1970;241402
BRB;1980;253582
BRB;1990;258871
BRB;2000;264663
BRB;2010;274717
BRB;2020;280704
BLR;1950;7906861
BLR;1960;8389186
BLR;1970;9170790
BLR;1980;9817256
BLR;1990;10428527
BLR;2000;10256489
BLR;2010;9731426
BLR;2020;9633745
BEL;1950;8617340
BEL;1960;9108729
BEL;1970;9629376
BEL;1980;9828989
BEL;1990;9959565
BEL;2000;10264351
BEL;2010;10877948
BEL;2020;11561716
BLZ;1950;69134
BLZ;1960;91420
BLZ;1970;120921
BLZ;1980;145147
BLZ;1990;182603
BLZ;2000;240420
BLZ;2010;322115
BLZ;2020;394931
BEN;1950;2264457
BEN;1960;2512290
BEN;1970;3023443
BEN;1980;3833947
BEN;1990;5133429
BEN;2000;6998022
BEN;2010;9445716
